goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkIntSlice/Len8/Emit-8           	 2330833	       473.4 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2317018	       471.4 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2505158	       475.2 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2386556	       477.9 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2274128	       492.5 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2457225	       499.5 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2520644	       485.5 ns/op	     136 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	45283886	        27.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	38776845	        27.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	46830873	        26.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	38612433	        30.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	36770672	        27.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	41279986	        28.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	43885906	        26.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	43256898	        28.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	46069543	        27.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	43576788	        26.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	45144330	        28.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	41199640	        27.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	35845708	        34.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	37284001	        37.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	37353231	        34.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	37725429	        34.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	35440488	        33.33 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	36367893	        34.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	32337757	        35.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	35254418	        35.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	31289188	        32.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	35417151	        33.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	33957717	        34.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/KeyValue-8     	33272126	        34.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	40895148	        28.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	43486834	        28.08 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	40502456	        28.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	42516855	        29.00 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	47121978	        29.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	40887446	        28.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	39025764	        28.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	42331299	        29.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	40774191	        27.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	46314366	        27.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkInt64Slice/Len2/AsInt64Slice-8 	41723236	        29.32 ns/op	      16 B/op	       1 allocs/op
