goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkFloat64Slice/KeyValue-8   	32480961	        34.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	35299585	        36.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	30056785	        36.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	32742865	        33.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	35223058	        33.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	34122500	        34.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	33172968	        32.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	33177824	        32.14 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	35592435	        31.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	37239010	        32.75 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	36492326	        32.83 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	33817891	        33.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	35339198	        34.82 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	36017418	        32.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	34834764	        32.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	37113313	        32.65 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2517033	       461.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2494831	       473.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2561331	       469.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2550121	       466.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2637165	       471.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2535146	       463.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2591017	       470.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2622468	       478.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2588494	       476.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2644912	       465.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2644434	       476.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2653530	       464.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringSlice/Value-8                   	25221375	        47.37 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	24692242	        46.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	24429586	        44.71 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	27513598	        50.24 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	23766086	        45.35 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	26749962	        48.94 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	25961938	        46.73 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	24692524	        44.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	26582006	        47.76 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	24182911	        50.25 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	23613754	        47.99 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Value-8                   	23928031	        49.69 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	22467595	        48.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	23743148	        54.57 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	20917689	        54.65 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	26827102	        49.51 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	24063453	        50.50 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	22454503	        47.79 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	24933974	        52.83 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	24059778	        50.36 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	23469223	        50.72 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	20786619	        48.31 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	22862409	        50.30 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/KeyValue-8                	24867918	        51.23 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	28760941	        43.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	27144860	        44.34 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	23624966	        44.61 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	28627641	        44.26 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	26352555	        44.85 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	24700189	        46.56 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	25339036	        44.14 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	27439561	        47.37 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	27673293	        43.89 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	26312726	        45.01 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	24327742	        45.36 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/AsStringSlice-8           	22336604	        49.59 ns/op	      48 B/op	       1 allocs/op
BenchmarkStringSlice/Emit-8                    	 3334123	       386.8 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3282180	       379.2 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2915070	       381.2 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3278095	       379.4 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3292059	       376.0 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3177508	       381.4 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3218798	       380.8 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3249268	       374.3 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3294081	       384.6 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3092839	       377.6 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3260011	       379.5 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 3089059	       429.5 ns/op	     168 B/op	       4 allocs/op
PASS
ok  	go.opentelemetry.io/otel/attribute	308.389s
