goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkInt64Slice/KeyValue-8     	 6537274	       163.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7793233	       157.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 8139050	       157.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7714396	       163.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7763016	       160.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7597209	       158.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7809158	       161.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7730762	       157.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7005625	       159.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7930021	       159.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	18680917	        68.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	19163762	        65.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	17890096	        65.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	19233045	        66.87 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	18439158	        67.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	15457390	        65.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	18751633	        63.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	17923824	        66.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	18625050	        66.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	18943528	        65.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	19005812	        64.92 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	18797100	        64.75 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Emit-8         	 3278527	       347.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3247839	       350.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3305697	       350.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3200347	       398.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3032322	       344.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3423013	       357.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3186037	       358.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3497076	       350.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3386402	       371.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3437353	       354.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 2816668	       375.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3340690	       354.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Value-8      	 8186967	       156.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 8148607	       164.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 6722242	       162.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 8032976	       158.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 7491793	       150.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 8018286	       149.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 8027223	       149.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 7883172	       149.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 8021610	       216.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 8087707	       164.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 7989230	       161.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/Value-8      	 7188516	       179.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 6726303	       169.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 7369224	       163.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 7708024	       166.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 6139335	       250.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 7400119	       163.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 7043376	       181.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 6604464	       211.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 5405690	       224.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 5815863	       222.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 6446124	       216.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 4363396	       243.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	 4969443	       231.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	14643733	       112.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	 7339718	       137.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	 9023928	       155.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	10308830	       122.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	10731997	       130.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	 8350338	       164.0 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	13734452	        85.64 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	14759358	        82.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	14911935	        79.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	14793733	        85.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	11196284	       125.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/AsFloat64Slice-8         	15399627	        87.22 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 1584886	       697.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 1892318	       725.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 1641942	       617.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 1881864	       568.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2051618	       750.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Emit-8                   	 2056920	       576.5 ns/op	      80 B/op	       4 allocs/op
