goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkStringSlice/Emit-8                    	 2597008	       459.5 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2453684	       461.6 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2627572	       468.8 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2683068	       466.3 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2598624	       460.8 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2698455	       469.6 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2623762	       456.6 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2711186	       463.2 ns/op	     168 B/op	       4 allocs/op
BenchmarkStringSlice/Emit-8                    	 2694030	       469.8 ns/op	     168 B/op	       4 allocs/op
PASS
ok  	go.opentelemetry.io/otel/attribute	338.334s
