goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkIntSlice/Len2/Emit-8           	 3874456	       323.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3862530	       311.6 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3899444	       349.1 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3774858	       318.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3732094	       311.0 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3639588	       328.6 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3758072	       355.0 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5698052	       216.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5209005	       220.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5673489	       218.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5626782	       217.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5683228	       211.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 4694803	       218.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 4999107	       225.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5765737	       218.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5732740	       216.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5913908	       225.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5468788	       215.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5412232	       216.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5181684	       223.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5046700	       223.1 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 4950392	       225.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5278784	       294.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 3535754	       314.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 3886024	       291.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5356440	       276.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5036113	       222.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5320827	       217.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5337680	       226.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 4605981	       221.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5378451	       251.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2405188	       481.7 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2516976	       483.8 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2361274	       480.9 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2426936	       472.0 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2353137	       477.4 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2429949	       470.5 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2534281	       479.9 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2494468	       480.2 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2448360	       505.0 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2495869	       475.0 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2385486	       479.0 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2483812	       482.4 ns/op	     136 B/op	       4 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 7259238	       150.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 6799168	       149.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 8023239	       149.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 7718757	       151.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 8234431	       151.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkInt64Slice/Len2/Value-8        	 8151074	       150.7 ns/op	      32 B/op	       2 allocs/op
