goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkStringSliceValue/Len2-8        	32685254	        40.54 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	26927588	        43.39 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	25206068	        42.71 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	27626548	        40.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	29714529	        40.53 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	30998430	        42.26 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	29869000	        42.31 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	26352240	        43.54 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5523712	       216.7 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5662262	       231.5 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5140902	       236.5 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5409103	       225.6 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5631807	       211.5 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 4780045	       218.0 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5810221	       226.2 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5083711	       234.6 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5810167	       215.7 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5063734	       219.7 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5514896	       218.6 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5685133	       210.8 ns/op	     256 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	20098402	        72.36 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13993323	        85.26 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	11936952	        86.75 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	15596184	        74.39 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	18029166	        80.03 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	17129391	        61.53 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	20795707	        60.80 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	20012078	        60.89 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	20462623	        62.04 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	17825836	        62.18 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	19781976	        61.90 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	19676842	        63.92 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	10888640	       115.9 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	11169222	       128.2 ns/op	      88 B/op	       2 allocs/op
