goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkStringSliceValue/Len8-8        	 5623297	       218.1 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 4852748	       222.7 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5973678	       211.2 ns/op	     256 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	11926311	        96.81 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13485789	        93.41 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	11689212	        94.00 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13652017	        95.19 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	12080811	        96.34 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	11842298	        97.85 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13728463	        93.06 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13015486	        98.28 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	12725143	        96.72 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13322138	       103.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	12215666	        97.28 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len2-8          	13058250	        97.77 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	11670252	       107.0 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	11533508	       106.3 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	12169800	       103.6 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 8015356	       158.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 9330346	       146.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 7116139	       148.7 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 8490642	       139.0 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 8146260	       144.5 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	 9430752	       142.2 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	11226594	       108.6 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	12689714	       106.3 ns/op	      88 B/op	       2 allocs/op
BenchmarkAsFloat64Slice/Len8-8          	11359773	       103.0 ns/op	      88 B/op	       2 allocs/op
PASS
ok  	go.opentelemetry.io/otel/attribute/internal	145.566s
